group	file	keywords
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Июнь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Июль
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Август
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Январь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Май
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Апрель
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Сентябрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Декабрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Ноябрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Октябрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Февраль
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Март
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	ИТОГО
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СВОД за месяц
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СВОД
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Итого
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	График производства работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	план
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	план
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Дни месяца
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Дни месяца
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	дни месяца
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	дни месяца
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	План
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	План
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	план / факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	план / факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	план/факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	план/факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	План/Факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	План/Факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Сентябрь
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СМГ Мессояха/СМГ/Сводки 
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	/
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	ресурсы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	МСГ январь 
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	МСГ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СМГ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	     Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	     Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	ПСП
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	НН
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Лист
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	ЦПС
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	МСГ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СМГ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	     Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	     Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Название работы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Название работы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Название задачи
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Название задачи
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Виды работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Виды работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование видов и/или этапов работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование видов и/или этапов работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Наименование работ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СТРОК ВСЕГО
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СТРОК 
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	 чистка
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	СТРОК 
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	 чистка
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Задействованные ресурсы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Мобилизация персонала
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Начало работ по контракту
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Начало работ по контракту
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Начало работ по контракту
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	МСГ
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Мобилизация техники
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	людские ресурсы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Технические ресурсы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Людские ресурсы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	технические ресурсы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Мобилизация персонала
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	факт
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	ресурсы
СМГ Мессояха	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ Мессояха\procces_data_meso.py	Ресурсы
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Июнь
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Июль
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Август
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Январь
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Май
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Апрель
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Сентябрь
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Декабрь
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Ноябрь
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Октябрь
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Февраль
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Март
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	ИТОГО
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	СВОД за месяц
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	СВОД
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Итого
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	График производства работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	план
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	план
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Дни месяца
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Дни месяца
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	План
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	План
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	план / факт
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	план / факт
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	план/факт
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	план/факт
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	План/Факт
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	План/Факт
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Факт
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Февраль
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	СМГ ННГ/Проект Газ 
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	/
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	ресурсы
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	СтройПроекСервис
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	МСГ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	СМГ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	     Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	     Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Лист
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	УКПГ 
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	     Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	     Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Название работы
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Название работы
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Название задачи
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Название задачи
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Виды работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Виды работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование видов и/или этапов работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование видов и/или этапов работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	Наименование работ
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	СТРОК ВСЕГО
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	СТРОК 
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	 чистка
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	СТРОК 
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	 чистка
СМГ ННГ	E:\GPN_Project\MSG_DataBase_Analysis\parse_words_from_py\DATA\СМГ ННГ\procces_data_nng.py	неделя
