attribute_name,zima,messoyakha,nport,tomskiy
"guid","Идентификатор GUID",,"Идентификатор GUID",
"work title","Наименование работ","Наименование работ","Наименование работ","Наименование работ"
"work id","№ п/п",,"№ п/п СМГ",""№ п/п"
"upper works",,,,
"measurements","Ед. изм","Ед. изм",,"Ед. изм."
"amount","Объемы работ по проекту","Объемы работ по проекту","Объёмы по проекту","Кол-во всего по проекту"
"work_data","Задание на месяц","Задание на месяц","План на месяц","Задание на месяц"
"start_date","Ожидаемое начало",,,
"stop_date","Ожидаемое окончание",,,
"plan","план","план","план","план"
"estimate",,,,
"fact","факт","факт","факт","факт"
"complite_state_perc","% выполнения от плана на текущую дату с начала строительства","% выполнения от плана на текущую дату с начала строительства","% выполнения от проекта","общий % выполнения"
"complite_state_value","Выполнено с начала строительства (по договору)","Выполнено с начала стр-ва","Выполнено с начала строительства","Выполнено с начала строительства"
"current_remain_perc",,,,
"current_remain_value","Остаток на текущую дату","Остаток на текущую дату","Остаток","Остаток по выполнению"
"whole_remain_perc",,,,
"whole_remain_value",,,,
"mounth_complite_value","Выполнено с начала месяца","Выполнено с начала месяца","Выполнено с начала месяца",
"mounth_complite_perc",,,,"% выполнения за месяц"
"progress",,,,
"comments","Примечание","Примечание",,
"resource",,,,
"resource_id",,,,
"resource_name",,"Ресурсы","Информация о задействованных на трассе строительства ресурсах","Наименование должностей, профессий"&"Наименование и марка техники (механизма) оборудования"
"type",,"Технические ресурсы"&"Людские ресурсы","Технические ресурсы"&"Людские ресурсы","Технические ресурсы"&"Людские ресурсы"